"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"TRIBUTE WEEKEND /TELEDYSKI/";" ";"12:00:08";"01:35:58";"AMR";996;287;856;204;0;0;
;;;;;;"AMR %";0,003 %;0,006 %;0,005 %;0,008 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,012 %;0,025 %;0,024 %;0,034 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,201 %;0,578 %;0,325 %;0,749 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";71 771;27 539;57 484;19 536;0;0;
;;"PROMO";" ";"13:46:50";"00:00:20";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HITS 2000 /TELEDYSKI/";" ";"14:00:08";"00:51:09";"AMR";2 331;1 254;1 861;785;0;0;
;;;;;;"AMR %";0,007 %;0,026 %;0,011 %;0,030 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,027 %;0,111 %;0,054 %;0,128 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,106 %;0,448 %;0,169 %;0,513 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";37 855;21 384;29 852;13 381;0;0;
;;"HITS 90'S /TELEDYSKI/";" ";"15:00:08";"00:48:39";"AMR";204;0;135;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,001 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,002 %;0,000 %;0,004 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,028 %;0,000 %;0,037 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";9 916;0;6 547;0;0;0;
;;"HITS 80'S /TELEDYSKI/";" ";"16:00:08";"00:47:21";"AMR";1 799;1 625;0;0;0;0;
;;;;;;"AMR %";0,005 %;0,034 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,017 %;0,113 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,103 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 125;4 901;0;0;0;0;
;;"PROMO";" ";"16:47:18";"00:00:20";"AMR";4 901;4 901;0;0;0;0;
;;;;;;"AMR %";0,014 %;0,103 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,044 %;0,322 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,014 %;0,103 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 901;4 901;0;0;0;0;
;;"TRIBUTE WEEKEND /TELEDYSKI/";" ";"17:00:08";"00:47:44";"AMR";1 410;1 410;0;0;0;0;
;;;;;;"AMR %";0,004 %;0,030 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,011 %;0,084 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,014 %;0,103 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 901;4 901;0;0;0;0;
;;"CHART HITS PARTY /TELEDYSKI/";" ";"18:00:08";"01:36:58";"AMR";653;113;366;0;0;0;
;;;;;;"AMR %";0,002 %;0,002 %;0,002 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,004 %;0,006 %;0,006 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,085 %;0,230 %;0,090 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";30 233;10 958;15 906;0;0;0;
;;"BLOK SPONSORSKI";"FLASH90 FESTIVAL";"20:00:08";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PARTY HITS /TELEDYSKI/";" ";"20:00:16";"00:47:08";"AMR";1 077;0;1 077;0;0;0;
;;;;;;"AMR %";0,003 %;0,000 %;0,006 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,006 %;0,000 %;0,015 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,018 %;0,000 %;0,036 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";6 342;0;6 342;0;0;0;
;;"PROMO";" ";"20:13:37";"00:00:26";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"FLASH90 FESTIVAL";"20:19:46";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"FLASH90 FESTIVAL";"20:47:12";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"FLASH90 FESTIVAL";"20:59:30";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"20:59:38";"00:00:30";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"DR GERARD";"21:00:08";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"MOVIE HITS /TELEDYSKI/";" ";"21:00:16";"00:46:37";"AMR";4 633;0;635;0;0;0;
;;;;;;"AMR %";0,013 %;0,000 %;0,004 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,028 %;0,000 %;0,009 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,101 %;0,000 %;0,056 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";36 167;0;9 868;0;0;0;
;;"BLOK SPONSORSKI";"DR GERARD";"21:21:19";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"DR GERARD";"21:47:02";"00:00:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"DR GERARD";"21:59:30";"00:00:08";"AMR";16 800;0;0;0;0;0;
;;;;;;"AMR %";0,047 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,107 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,047 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";16 800;0;0;0;0;0;
;;"PROMO";" ";"21:59:38";"00:00:30";"AMR";16 800;0;0;0;0;0;
;;;;;;"AMR %";0,047 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,107 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,047 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";16 800;0;0;0;0;0;
;;"HITS BALLADS /TELEDYSKI/";" ";"22:00:08";"00:47:36";"AMR";1 718;0;0;0;0;0;
;;;;;;"AMR %";0,005 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,014 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,047 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";16 800;0;0;0;0;0;
;;"HITS ROCK /TELEDYSKI/";" ";"23:00:08";"00:48:34";"AMR";84;0;84;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,001 %;0,000 %;0,002 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,022 %;0,000 %;0,045 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";7 913;0;7 913;0;0;0;
;;"HITS 2000 /TELEDYSKI/";" ";"24:00:08";"01:36:10";"AMR";409;0;409;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,002 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,014 %;0,000 %;0,028 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,000 %;0,074 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 122;0;13 122;0;0;0;
;"ADVENTURE";"ODKRYWCY PRZYGODY STULECIA /SER.DOK.USA/";" ";"02:00:00";"00:10:08";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BEZ KOMENTARZA /REP./";" ";"02:22:09";"00:06:55";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"CZTERY ZYWIOLY /FILM DOK.NIEM./";" ";"02:29:04";"00:50:03";"AMR";64;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,005 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,009 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 179;0;0;0;0;0;
;;"LASY DOLNEGO SLASKA /REP./";" ";"03:25:13";"00:14:40";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BEZ KOMENTARZA /REP./";" ";"03:45:59";"00:04:35";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LOWCY ZAGINIONYCH SKARBOW /SER.DOK.NIEM./";" ";"03:50:34";"00:41:37";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PATROL DROGOWKI /SER.DOK.POL./";" ";"04:44:17";"00:27:24";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HIGH SCORE CZYLI GRA W BIZNES /MAG.KOMP.POL./";" ";"05:17:47";"00:09:46";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LASY DOLNEGO SLASKA /REP./";" ";"05:33:39";"00:14:39";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"GOLF PASJA I SPORT /REP.POL./";" ";"05:48:18";"00:10:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"05:58:18";"00:01:48";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"STRZELECKIE ABC /PROG.PORAD.POL./";" ";"06:03:42";"00:14:34";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"HIGH SCORE CZYLI GRA W BIZNES /MAG.KOMP.POL./";" ";"06:22:17";"00:09:46";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"1000 DNI DLA ZIEMI /SER.DOK.KAN./";" ";"06:35:49";"00:43:56";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BEZ KOMENTARZA /REP./";" ";"07:31:51";"00:03:06";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"07:34:57";"00:02:04";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PATROL DROGOWKI /SER.DOK.POL./";" ";"07:37:01";"00:27:24";"AMR";330;0;0;0;0;0;
;;;;;;"AMR %";0,001 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,007 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,025 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";9 049;0;0;0;0;0;
;;"TYLKO PODROZE /SER.DOK.WL./";" ";"08:10:21";"00:24:02";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"TRANSSYBERYJSKA ODYSEJA /FILM DOK.ROS./";" ";"08:40:19";"00:25:30";"AMR";815;0;815;0;0;0;
;;;;;;"AMR %";0,002 %;0,000 %;0,005 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,012 %;0,000 %;0,031 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,012 %;0,000 %;0,024 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 313;0;4 313;0;0;0;
;;"ZBIERACZE Z DZIKIEGO ZACHODU /SER.DOK.KAN./";" ";"09:17:50";"00:44:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"FOCUSED /SER.DOK.USA/";" ";"10:07:46";"00:25:58";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"10:39:40";"00:02:05";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"1000 DNI DLA ZIEMI /SER.DOK.KAN./";" ";"10:41:45";"00:43:56";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BEZ KOMENTARZA /REP./";" ";"11:37:17";"00:01:30";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"11:38:47";"00:02:05";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BAZARY SWIATA /SER.DOK.W.BRYT./";" ";"11:40:52";"00:26:55";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PROMO";" ";"12:13:53";"00:02:04";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"WODNY SWIAT /MAG.SPORT.POL./";" ";"12:15:57";"00:14:07";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BEZ KOMENTARZA /REP./";" ";"12:35:50";"00:02:41";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
